epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5727.3,1.50812,1.18214,1.60527,0.72685,0.76644,0.75084,0.33636,1.88746,1.07301,1.92011,0.000848969,0.000848969,0.000848969
43,5863.27,1.50266,1.16834,1.59737,0.74598,0.73791,0.75122,0.33407,1.92378,1.08626,1.93749,0.000834822,0.000834822,0.000834822
44,5999.44,1.48666,1.14036,1.59057,0.71778,0.74292,0.74465,0.33277,1.9013,1.0848,1.9454,0.000820675,0.000820675,0.000820675
45,6136.85,1.49523,1.14467,1.59978,0.73631,0.76529,0.75836,0.33137,1.89435,1.07292,1.93186,0.000806528,0.000806528,0.000806528
46,6273.5,1.47884,1.13149,1.58115,0.72934,0.7355,0.74677,0.32959,1.94846,1.09677,2.00418,0.00079238,0.00079238,0.00079238
47,6408.98,1.46866,1.1193,1.5848,0.7329,0.74102,0.73628,0.3245,1.94303,1.10676,2.00035,0.000778233,0.000778233,0.000778233
48,6544.38,1.46978,1.12465,1.57242,0.72578,0.737,0.74504,0.33106,1.94279,1.09797,2.00197,0.000764086,0.000764086,0.000764086
49,6679.66,1.4615,1.10357,1.56457,0.73086,0.73328,0.73889,0.32949,1.91046,1.10727,1.94348,0.000749939,0.000749939,0.000749939
50,6814.56,1.43342,1.08439,1.54406,0.72247,0.75099,0.74602,0.32869,1.90161,1.08151,1.95128,0.000735792,0.000735792,0.000735792
51,6949.19,1.43863,1.07478,1.5436,0.71014,0.73726,0.72901,0.32282,1.92975,1.10565,1.96867,0.000721645,0.000721645,0.000721645
52,7083.88,1.43468,1.0694,1.54255,0.73892,0.73047,0.74323,0.32917,1.93804,1.09784,2.00114,0.000707498,0.000707498,0.000707498
53,7218.54,1.42041,1.05278,1.53549,0.7389,0.74418,0.74254,0.32716,1.94672,1.08898,2.00596,0.000693351,0.000693351,0.000693351
54,7354.04,1.41013,1.05826,1.52746,0.72585,0.74729,0.73672,0.32045,1.95961,1.10407,2.02456,0.000679204,0.000679204,0.000679204
55,7489.05,1.41535,1.0544,1.53099,0.76257,0.73159,0.73844,0.32091,1.96018,1.09129,2.03843,0.000665057,0.000665057,0.000665057
56,7624.76,1.40117,1.03604,1.51937,0.73724,0.74431,0.74271,0.3202,1.94736,1.11719,2.03113,0.000650909,0.000650909,0.000650909
57,7759.8,1.39941,1.0286,1.52144,0.75447,0.7388,0.74474,0.31976,1.97002,1.0876,2.06056,0.000636762,0.000636762,0.000636762
58,7894.77,1.38661,1.02143,1.51062,0.74199,0.73795,0.73924,0.32111,1.97173,1.09276,2.04812,0.000622615,0.000622615,0.000622615
59,8029.72,1.3911,1.01089,1.51299,0.75251,0.73604,0.73964,0.31847,1.97033,1.10105,2.06319,0.000608468,0.000608468,0.000608468
60,8164.77,1.37858,1.0061,1.4979,0.72326,0.75238,0.73507,0.31457,1.97297,1.1022,2.06852,0.000594321,0.000594321,0.000594321
61,8298.99,1.3665,1.00039,1.49365,0.73072,0.74841,0.73863,0.32058,1.96327,1.10903,2.08806,0.000580174,0.000580174,0.000580174
62,8434.09,1.35959,0.98992,1.49051,0.75025,0.73479,0.72487,0.31314,1.99331,1.0834,2.09674,0.000566027,0.000566027,0.000566027
63,8569.31,1.3576,0.99253,1.48531,0.76198,0.71749,0.72723,0.31477,1.98442,1.10028,2.09932,0.00055188,0.00055188,0.00055188
64,8704.51,1.33986,0.9763,1.48157,0.74778,0.72107,0.73295,0.31558,1.97207,1.08907,2.08414,0.000537733,0.000537733,0.000537733
65,8839.92,1.33851,0.96609,1.47284,0.75037,0.73149,0.74408,0.31621,1.9854,1.06872,2.0971,0.000523586,0.000523586,0.000523586
66,8975.04,1.34077,0.96526,1.47204,0.75762,0.71525,0.73935,0.31801,1.98309,1.08172,2.09781,0.000509438,0.000509438,0.000509438
67,9110.47,1.32221,0.95595,1.4619,0.74163,0.7338,0.73159,0.30895,1.99812,1.08875,2.14646,0.000495291,0.000495291,0.000495291
68,9246.32,1.31735,0.93878,1.45433,0.75422,0.72003,0.73088,0.31477,1.98153,1.08316,2.11622,0.000481144,0.000481144,0.000481144
69,9381.68,1.31579,0.93735,1.45597,0.73279,0.75617,0.7315,0.31464,2.00669,1.08909,2.1304,0.000466997,0.000466997,0.000466997
70,9517.43,1.30214,0.92951,1.44968,0.74703,0.72667,0.7206,0.31103,2.014,1.11247,2.13076,0.00045285,0.00045285,0.00045285
71,9653.18,1.29144,0.91649,1.43661,0.7381,0.75455,0.73502,0.31077,2.01302,1.09354,2.16438,0.000438703,0.000438703,0.000438703
72,9788.55,1.29472,0.91692,1.43714,0.74238,0.74711,0.72742,0.31549,1.9959,1.07746,2.13957,0.000424556,0.000424556,0.000424556
73,9924.08,1.28645,0.90985,1.42983,0.72709,0.74567,0.71891,0.3129,2.01615,1.09006,2.1588,0.000410409,0.000410409,0.000410409
74,10059.6,1.28782,0.90899,1.42979,0.73509,0.73798,0.72563,0.3087,2.02046,1.09345,2.17586,0.000396262,0.000396262,0.000396262
75,10194.6,1.27597,0.90522,1.42723,0.74698,0.73276,0.73567,0.31688,2.02091,1.08442,2.17894,0.000382115,0.000382115,0.000382115
76,10329.8,1.2767,0.89861,1.42307,0.7487,0.71781,0.73219,0.31674,2.01761,1.07956,2.17775,0.000367967,0.000367967,0.000367967
77,10464.4,1.25581,0.88487,1.41076,0.74866,0.71693,0.72035,0.31065,2.02338,1.08331,2.18779,0.00035382,0.00035382,0.00035382
78,10599.2,1.25639,0.88315,1.41423,0.74122,0.72834,0.71993,0.30863,2.01602,1.08931,2.20885,0.000339673,0.000339673,0.000339673
79,10734.1,1.25386,0.8778,1.41079,0.72546,0.7385,0.71441,0.30506,2.02631,1.08972,2.20411,0.000325526,0.000325526,0.000325526
80,10869,1.24451,0.86999,1.40069,0.74385,0.73528,0.72468,0.31082,2.03497,1.09663,2.19365,0.000311379,0.000311379,0.000311379
81,11004.1,1.24037,0.86818,1.40257,0.74952,0.72192,0.71793,0.30664,2.04247,1.10279,2.2115,0.000297232,0.000297232,0.000297232
82,11138.9,1.23443,0.85313,1.38932,0.75282,0.72938,0.7213,0.3097,2.03804,1.09997,2.23142,0.000283085,0.000283085,0.000283085
83,11274.3,1.2263,0.85332,1.39061,0.75456,0.71632,0.71956,0.30629,2.04445,1.09956,2.2478,0.000268938,0.000268938,0.000268938
84,11409.1,1.2195,0.84813,1.38467,0.73234,0.74855,0.72195,0.31099,2.03164,1.08264,2.24425,0.000254791,0.000254791,0.000254791
85,11544.7,1.21689,0.84015,1.37649,0.74954,0.73054,0.72629,0.30875,2.05394,1.08859,2.27262,0.000240644,0.000240644,0.000240644
86,11679.5,1.21845,0.85431,1.3837,0.74986,0.73396,0.71784,0.30508,2.05682,1.08769,2.26897,0.000226497,0.000226497,0.000226497
87,11814.3,1.21195,0.83559,1.37548,0.73868,0.74913,0.72424,0.3053,2.07,1.098,2.28142,0.000212349,0.000212349,0.000212349
88,11948.9,1.1944,0.82938,1.36745,0.7345,0.74094,0.71325,0.30406,2.04715,1.08117,2.27388,0.000198202,0.000198202,0.000198202
89,12083.8,1.19239,0.82947,1.36971,0.73957,0.73113,0.71412,0.30458,2.05878,1.10055,2.29251,0.000184055,0.000184055,0.000184055
90,12218.6,1.19178,0.82163,1.36665,0.73555,0.7412,0.71829,0.30737,2.05299,1.08996,2.28854,0.000169908,0.000169908,0.000169908
91,12348.4,1.12789,0.63065,1.3417,0.73013,0.74023,0.7202,0.3042,2.06505,1.10049,2.28568,0.000155761,0.000155761,0.000155761
92,12478,1.09346,0.60496,1.32271,0.74376,0.74095,0.72557,0.30689,2.06612,1.09551,2.30684,0.000141614,0.000141614,0.000141614
93,12607.8,1.07835,0.59047,1.31041,0.71874,0.74417,0.71727,0.30648,2.06453,1.10222,2.32902,0.000127467,0.000127467,0.000127467
94,12737.2,1.0649,0.58494,1.30385,0.74269,0.73683,0.72428,0.30462,2.05869,1.10472,2.32749,0.00011332,0.00011332,0.00011332
95,12867.2,1.05554,0.57981,1.2986,0.73556,0.74142,0.72004,0.30564,2.06029,1.11248,2.33861,9.91726e-05,9.91726e-05,9.91726e-05
96,12997.7,1.04859,0.56984,1.28965,0.73569,0.72996,0.71713,0.30483,2.07025,1.11355,2.35395,8.50255e-05,8.50255e-05,8.50255e-05
97,13127.2,1.04202,0.56525,1.28354,0.73753,0.73004,0.71666,0.30505,2.07107,1.11885,2.3685,7.08784e-05,7.08784e-05,7.08784e-05
98,13257.2,1.0333,0.56584,1.28002,0.72505,0.74139,0.71858,0.30576,2.05968,1.11394,2.35994,5.67313e-05,5.67313e-05,5.67313e-05
99,13388.1,1.02723,0.56203,1.27506,0.73165,0.73689,0.72134,0.30723,2.06247,1.11301,2.36863,4.25842e-05,4.25842e-05,4.25842e-05
100,13519.9,1.01644,0.55345,1.26788,0.73544,0.72783,0.71732,0.30496,2.06167,1.11736,2.37217,2.84371e-05,2.84371e-05,2.84371e-05
