epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,558.238,1.75689,2.61784,1.92072,0.58516,0.61509,0.60509,0.26231,1.74774,1.9828,1.923,0.00332834,0.00332834,0.00332834
2,909.473,1.71806,1.99582,1.84161,0.56567,0.57502,0.56824,0.24437,1.81421,1.93464,1.979,0.00659572,0.00659572,0.00659572
3,1226.81,1.74925,1.97053,1.87179,0.51952,0.53524,0.51388,0.22512,1.83124,1.97085,1.9994,0.0097971,0.0097971,0.0097971
4,1586.98,1.77454,1.96432,1.90707,0.54222,0.59515,0.56203,0.2469,1.83371,1.81791,2.0587,0.009703,0.009703,0.009703
5,1925.63,1.74421,1.8571,1.88893,0.66229,0.64247,0.66021,0.29188,1.82679,1.46302,1.98886,0.009604,0.009604,0.009604
6,2331.34,1.72529,1.77556,1.86083,0.65938,0.67329,0.67969,0.30733,1.80124,1.44278,1.96596,0.009505,0.009505,0.009505
7,2668.61,1.70292,1.70268,1.84297,0.68125,0.70094,0.70624,0.32444,1.77834,1.3372,1.93819,0.009406,0.009406,0.009406
8,3020.21,1.68375,1.653,1.82101,0.65585,0.69151,0.67419,0.31416,1.774,1.36669,1.94417,0.009307,0.009307,0.009307
9,3338.91,1.66571,1.5995,1.81013,0.68718,0.72556,0.73445,0.33928,1.78943,1.2638,1.96555,0.009208,0.009208,0.009208
10,3718.9,1.65566,1.56616,1.79853,0.70177,0.67402,0.7137,0.32156,1.76743,1.29755,1.92552,0.009109,0.009109,0.009109
11,4037.11,1.64687,1.53301,1.78719,0.6929,0.72779,0.73954,0.34093,1.77787,1.23151,1.9244,0.00901,0.00901,0.00901
12,4387.99,1.63654,1.50642,1.77768,0.70148,0.71897,0.73741,0.34777,1.74649,1.19556,1.90685,0.008911,0.008911,0.008911
13,4705.11,1.62507,1.4714,1.76199,0.71114,0.73907,0.73373,0.33892,1.7735,1.19808,1.93042,0.008812,0.008812,0.008812
