epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.987,1.8423,2.97211,1.94462,0.45831,0.5084,0.43565,0.18026,1.83985,2.36803,1.93733,0.00332147,0.00332147,0.00332147
2,286.903,1.81859,2.26297,1.88579,0.61903,0.60721,0.60408,0.25179,1.88562,2.00543,1.89213,0.00663284,0.00663284,0.00663284
3,429.333,1.83529,2.16221,1.89467,0.33027,0.30153,0.19361,0.07212,2.15792,2.99605,2.17413,0.00992222,0.00992222,0.00992222
4,583.631,1.86994,2.19404,1.9291,0.58703,0.55274,0.55131,0.21994,1.9599,1.88226,2.0559,0.009901,0.009901,0.009901
5,719.842,1.84308,2.10041,1.91855,0.60974,0.63387,0.62002,0.26619,1.85617,1.68393,1.95846,0.009868,0.009868,0.009868
6,854.384,1.82748,2.01379,1.90902,0.61001,0.59141,0.59034,0.24083,1.94034,1.69715,1.98538,0.009835,0.009835,0.009835
7,988.513,1.82078,1.95561,1.87361,0.62467,0.6226,0.62189,0.26716,1.85594,1.60724,1.93121,0.009802,0.009802,0.009802
8,1122.99,1.78609,1.89114,1.86527,0.66181,0.58944,0.61965,0.26811,1.86843,1.61403,1.96902,0.009769,0.009769,0.009769
9,1257.58,1.78723,1.85393,1.8511,0.68157,0.62671,0.65605,0.28801,1.88625,1.47896,1.94017,0.009736,0.009736,0.009736
10,1392.46,1.77519,1.80231,1.84899,0.6547,0.64266,0.65603,0.28928,1.8674,1.52392,1.949,0.009703,0.009703,0.009703
11,1527.59,1.75956,1.76711,1.83138,0.64552,0.66842,0.66382,0.29736,1.87375,1.44337,1.90636,0.00967,0.00967,0.00967
12,1662.01,1.7493,1.73356,1.82099,0.70879,0.69099,0.70829,0.31101,1.88554,1.35789,1.93429,0.009637,0.009637,0.009637
13,1796.58,1.74563,1.69182,1.81539,0.71074,0.68195,0.72854,0.32661,1.81482,1.30594,1.89469,0.009604,0.009604,0.009604
14,1931.14,1.74912,1.68316,1.80703,0.69146,0.65074,0.68655,0.31217,1.83899,1.36747,1.89022,0.009571,0.009571,0.009571
15,2066,1.73108,1.67074,1.81063,0.68862,0.68808,0.69771,0.30668,1.86127,1.36799,1.90978,0.009538,0.009538,0.009538
16,2201.64,1.72156,1.6278,1.78942,0.67694,0.6932,0.70981,0.31751,1.84857,1.29306,1.88411,0.009505,0.009505,0.009505
17,2336.38,1.71077,1.61698,1.78874,0.69638,0.6993,0.71559,0.31831,1.8392,1.30587,1.90248,0.009472,0.009472,0.009472
18,2470.86,1.6978,1.59466,1.77377,0.72473,0.69212,0.72793,0.33149,1.84708,1.27171,1.8987,0.009439,0.009439,0.009439
19,2605.95,1.69311,1.58765,1.77737,0.71037,0.70839,0.72903,0.33004,1.85522,1.2833,1.89721,0.009406,0.009406,0.009406
20,2740.68,1.68631,1.53886,1.75722,0.72061,0.71332,0.73297,0.33149,1.84127,1.21312,1.86555,0.009373,0.009373,0.009373
21,2875.64,1.68061,1.51774,1.75597,0.71939,0.70394,0.73543,0.3339,1.84768,1.21726,1.87083,0.00934,0.00934,0.00934
22,3010.86,1.6739,1.50941,1.75339,0.71711,0.69049,0.72119,0.32215,1.86853,1.24713,1.90488,0.009307,0.009307,0.009307
23,3145.44,1.67354,1.50576,1.74551,0.70336,0.70958,0.71951,0.3271,1.84828,1.23666,1.89734,0.009274,0.009274,0.009274
24,3281.03,1.65745,1.48017,1.74308,0.7028,0.71764,0.73034,0.32325,1.87184,1.21138,1.89558,0.009241,0.009241,0.009241
25,3415.97,1.6557,1.4744,1.73931,0.69947,0.73123,0.73428,0.33152,1.88472,1.21349,1.91908,0.009208,0.009208,0.009208
26,3550.94,1.65348,1.44878,1.73075,0.73071,0.7326,0.74702,0.34263,1.83467,1.16827,1.86651,0.009175,0.009175,0.009175
27,3685.91,1.64984,1.44364,1.73043,0.72615,0.68648,0.72161,0.32742,1.81928,1.20837,1.88075,0.009142,0.009142,0.009142
28,3820.78,1.63996,1.42932,1.72178,0.70477,0.72335,0.74305,0.33121,1.84076,1.17347,1.90742,0.009109,0.009109,0.009109
29,3956.41,1.62569,1.4111,1.71105,0.73242,0.71424,0.73151,0.32419,1.88566,1.18423,1.94493,0.009076,0.009076,0.009076
30,4092.01,1.62234,1.39405,1.71098,0.72247,0.73504,0.75042,0.33672,1.85744,1.15716,1.92464,0.009043,0.009043,0.009043
31,4227.36,1.62161,1.3839,1.70472,0.69014,0.73784,0.72776,0.32971,1.84868,1.21009,1.89715,0.00901,0.00901,0.00901
32,4361.88,1.60995,1.37077,1.6973,0.71616,0.70892,0.72651,0.32541,1.87156,1.17176,1.91664,0.008977,0.008977,0.008977
33,4496.18,1.61146,1.35896,1.69526,0.71166,0.72572,0.73564,0.33753,1.84519,1.13152,1.89269,0.008944,0.008944,0.008944
34,4630.48,1.59868,1.33788,1.68283,0.71123,0.73844,0.73318,0.32527,1.8621,1.12431,1.91898,0.008911,0.008911,0.008911
35,4764.74,1.59351,1.31959,1.67384,0.69979,0.72775,0.7386,0.3297,1.86136,1.183,1.91892,0.008878,0.008878,0.008878
36,4899.24,1.5974,1.32261,1.67449,0.70945,0.73369,0.74866,0.33741,1.82231,1.1213,1.89326,0.008845,0.008845,0.008845
37,5033.75,1.58351,1.30045,1.67417,0.72817,0.69923,0.72963,0.32873,1.86916,1.14842,1.90866,0.008812,0.008812,0.008812
38,5168.33,1.57633,1.29897,1.67162,0.72167,0.72394,0.73858,0.33275,1.86075,1.11917,1.90068,0.008779,0.008779,0.008779
