epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,248.761,1.86062,2.59746,1.90294,0.51105,0.51737,0.45783,0.17473,1.96519,2.2793,2.02557,0.000474638,0.000474638,0.000474638
2,409.069,1.82453,2.12822,1.8551,0.62026,0.53505,0.58906,0.24944,1.89869,1.85485,1.86812,0.000637151,0.000637151,0.000637151
3,546.299,1.75498,1.90057,1.79889,0.71019,0.66617,0.68436,0.30076,1.81888,1.55958,1.81964,0.000485284,0.000485284,0.000485284
